bathrooms,detailedType.subTypology,detailedType.typology,district,exterior,floor,has360,has3DTour,hasLift,hasPlan,hasStaging,hasVideo,highlight.groupDescription,municipality,newDevelopment,newDevelopmentFinished,numPhotos,parkingSpace.hasParkingSpace,parkingSpace.isParkingSpaceIncludedInPrice,parkingSpace.parkingSpacePrice,propertyType,rooms,showAddress,size,status,topPlus,floor_cat,has_neighborhood,has_Discount,terraza,atico,garaje,ascensor,espaciosa,luminoso,reformado,obra_nueva,céntrico,interior,antiguo,a_reformar,sin_ascensor,okupa,oscuro,pequeño,mal_ubicado,cercano_metro,cercano_supermercado,cercano_colegio,cercano_hospital,cercano_farmacia,cercano_mall,cercano_correos,cercano_policia,cercano_cultural,gimnasio,piscina,padel,zonas_comunes,parque,score_final,distancia_al_centro,size_per_room,amenities_score,zona_cluster
4,5,2,126,1,6.0,0,0,1,1,0,0,3,2,0,0,4,0,0,28000.0,4,4,0,305.0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,13,1.2802389876416405,76.25,16,18
3,4,0,16,0,0.0,1,0,0,1,0,0,0,7,0,0,3,0,0,28000.0,0,5,0,593.0,2,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,16,43.557792219332896,118.6,18,21
4,4,0,115,0,0.0,0,1,0,1,0,1,0,22,0,0,0,1,1,0.0,0,5,0,600.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8,21.762254884725607,120.0,12,49
4,4,0,183,0,0.0,0,0,0,1,0,0,3,14,0,0,2,1,1,0.0,0,5,0,391.0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,27.404931807396128,78.2,9,27
2,4,0,204,0,0.0,0,0,0,1,0,1,3,7,0,0,4,1,1,0.0,0,4,0,164.0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,66.60420790711974,41.0,12,29
2,1,2,126,1,1.0,1,0,1,1,0,1,3,2,0,0,0,0,0,28000.0,3,3,0,86.0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8921034675090102,28.666666666666668,13,18
1,7,2,137,1,0.0,0,0,0,1,0,1,0,2,0,0,2,0,0,28000.0,5,1,1,45.0,0,0,2,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8.556660723606173,45.0,12,10
3,4,0,149,0,0.0,0,0,0,1,0,1,3,19,0,0,0,1,1,0.0,0,4,0,340.0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,26.601857006102424,85.0,13,49
2,1,2,126,1,1.0,1,0,1,1,0,1,0,2,0,0,0,0,0,28000.0,3,3,0,86.0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8921034675090102,28.666666666666668,13,18
1,1,2,118,1,2.0,1,0,0,1,0,0,0,2,0,0,6,0,0,28000.0,3,4,0,98.0,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,7,4.6982992443529055,24.5,10,23
